week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
280,-0.6500000000000001,1,0,1,0,0,0,1,0,0,2,2,0,3
281,0.6000000000000001,1,0,0,1,1,0,1,0,0,0,1,0,4
282,6.319999999999999,2,1,0,0,1,0,0,1,1,0,1,0,6
283,0.6999999999999997,0,0,1,0,2,1,0,0,1,0,0,1,4
284,-0.8200000000000001,0,3,0,0,0,0,1,0,2,1,0,0,3
285,6.609999999999999,0,0,0,1,0,3,0,0,0,0,1,0,6
286,5.45,0,2,1,0,0,0,0,1,0,3,0,0,6
287,-2.82,1,1,1,0,0,2,1,0,0,0,0,1,2
288,1.8200000000000003,0,0,0,1,1,1,1,0,0,2,1,0,4
289,-5.449999999999999,1,1,0,1,0,0,0,1,1,1,1,0,1
290,-9.319999999999999,2,1,1,0,1,1,0,1,0,0,0,1,1
291,-0.9399999999999998,0,2,1,0,2,1,1,0,1,1,0,1,3
292,-4.83,1,3,1,2,0,2,1,0,2,1,1,0,2
293,0.6000000000000001,1,2,0,0,1,3,1,2,0,2,1,0,4
294,-8.78,0,0,2,1,1,2,0,0,1,3,1,2,1
295,10.32,0,1,0,0,0,0,2,1,1,2,0,0,6
296,0.2100000000000004,1,1,1,1,0,1,0,0,0,0,2,1,4
297,-2.45,1,3,2,0,1,1,1,1,0,1,0,0,3
298,2.8600000000000003,2,1,1,0,1,3,2,0,1,1,1,1,5
299,-0.73,0,0,3,0,2,1,1,0,1,3,2,0,3
300,2.16,1,2,0,0,0,0,3,0,2,1,1,0,4
301,-3.3800000000000003,2,4,1,0,1,2,0,0,0,0,3,0,2
302,-0.06999999999999984,2,2,1,0,2,4,1,0,1,2,0,0,3
303,-1.3699999999999997,1,1,1,1,2,2,1,0,2,4,1,0,3
304,-7.25,1,3,1,0,1,1,1,1,2,2,1,0,1
305,1.4,1,2,1,0,1,3,1,0,1,1,1,1,4
306,-2.8600000000000003,5,2,4,0,1,2,1,0,1,3,1,0,2
307,-3.5300000000000002,0,1,0,0,5,2,4,0,1,2,1,0,2
308,-5.38,0,4,2,1,0,1,0,0,5,2,4,0,1
309,3.4399999999999995,1,3,0,1,0,4,2,1,0,1,0,0,5
310,-2.8200000000000003,3,3,1,0,1,3,0,1,0,4,2,1,2
311,0.94,1,2,1,0,3,3,1,0,1,3,0,1,4
312,0.7999999999999989,1,2,0,0,1,2,1,0,3,3,1,0,4
313,-0.020000000000000018,0,0,1,0,1,2,0,0,1,2,1,0,3
314,11.84,1,1,1,0,0,0,1,0,1,2,0,0,6
315,9.149999999999999,0,3,0,1,1,1,1,0,0,0,1,0,6
316,-2.25,3,0,1,0,0,3,0,1,1,1,1,0,3
317,-0.31,1,0,2,0,3,0,1,0,0,3,0,1,3
318,-0.77,0,1,2,0,1,0,2,0,3,0,1,0,3
319,1.7200000000000002,1,3,0,0,0,1,2,0,1,0,2,0,4
320,0.6099999999999999,1,2,0,2,1,3,0,0,0,1,2,0,4
321,1.19,1,1,0,0,1,2,0,2,1,3,0,0,4
